feu;
1;
1;
22;22;
----------------------------------;
61;6;6;6-10;
61;0;11;4-10;
61;1;6;4-10;
61;0;7;4-10;
61;2;5;6-10;
61;3;5;6-10;
61;3;8;6-9;
61;2;7;6-9-75;
61;3;8;6-9;
61;2;7;6-9-75;
61;2;8;6-9-71;
61;2;8;6-9-71;
61;1;8;4-10-71;
61;2;7;6-9-75;
61;6;9;6-9-71;
62;0;14;0;
62;6;11;0;
62;4;9;0;
62;5;9;0;
62;0;13;0;
62;7;6;6-10;
62;2;6;6-10-75;
62;2;7;6-9;
62;2;6;6-10-75;
62;2;7;6-9;
62;2;6;6-10-75;
62;2;7;6-9;
62;2;6;6-10-75;
62;2;7;6-9;
62;2;6;6-10-75;
62;2;8;6-9;
62;1;8;4-10-72;
62;2;7;6-9;
62;2;6;6-10-75;
62;6;9;6-9;
62;6;8;6-10-71;
63;2;11;0;
63;0;8;1-10;
63;4;5;6-10;
63;7;9;6-10;
63;6;5;6-10;
63;2;4;4-10;
63;3;4;4-10;
63;1;5;6-10;
63;2;6;6-9-73;
63;2;6;6-9-73;
63;1;6;4-10-72;
63;1;8;4-9-72;
63;2;6;6-9-73;
63;1;6;4-10-72;
64;2;12;0;
64;4;8;0;
64;5;8;0;
64;8;8;6-10;
64;8;9;4-10;
64;5;5;6-10;
64;0;6;1-10;
64;4;4;4-10;
64;2;6;6-9;
64;1;6;4-10-75;
64;2;6;6-9;
64;1;6;4-10-75;
64;2;6;6-9;
64;1;6;4-10-75;
64;1;8;4-9;
64;0;7;4-10-72;
64;1;8;4-9;
64;0;7;4-10-72;
65;2;10;0;
65;6;8;0;
65;1;12;0;
65;1;10;0;
65;2;13;6-10;
65;8;12;6-10;
65;8;6;6-10;
65;0;5;4-10-74;
65;5;4;4-10;
65;6;4;4-10;
65;7;4;4-10;
65;1;3;1-10;
65;1;4;4-10;
65;1;6;4-9-71;
65;1;6;4-9-71;
65;0;5;4-10-74;
65;1;6;4-9-71;
65;0;5;4-10-74;
65;1;6;4-9-71;
65;0;5;4-10-74;
65;1;6;4-9-71;
65;0;5;4-10-74;
65;6;8;0;
65;5;7;6-10-71;
66;7;11;0;
66;1;11;0;
66;7;8;0;
66;1;9;0;
66;3;7;0;
66;4;7;0;
66;0;9;0;
66;9;10;4-10;
66;7;5;6-10;
66;8;7;4-10;
66;9;8;4-10;
66;1;6;4-9;
66;0;5;4-9-74;
66;0;5;4-9-74;
66;0;7;4-9-71;
66;0;7;4-9-71;
66;1;4;4-10-72;
66;0;5;4-9-74;
66;1;4;4-10-72;
67;13;19;0;
67;11;16;0;
67;1;13;0;
67;5;7;0;
67;6;7;0;
67;8;11;0;
67;7;12;6-10;
67;8;5;4-10;
67;0;4;1-10;
67;5;3;1-10;
67;2;2;1-10;
67;0;3;1-10;
67;0;5;4-9;
67;1;4;4-10-77;
67;0;5;4-9;
67;1;4;4-10-77;
67;0;5;4-9;
67;1;4;4-10-77;
67;0;5;4-9;
67;1;4;4-10-77;
67;0;7;4-9;
67;1;4;4-10-77;
67;5;7;0;
67;5;6;6-10-71;
68;7;7;0;
68;1;7;0;
68;3;6;0;
68;4;6;0;
68;0;11;0;
68;8;4;4-10;
68;1;4;4-9-71;
68;1;4;4-9-71;
68;2;4;4-10-76;
68;1;4;4-9-71;
68;2;4;4-10-76;
68;1;4;4-9-71;
68;2;4;4-10-76;
68;1;4;4-9-71;
68;2;4;4-10-76;
68;1;4;4-9-71;
68;2;4;4-10-76;
68;1;4;4-9-71;
68;2;4;4-10-76;
69;8;10;0;
69;5;6;0;
69;4;3;1-10;
69;1;2;1-10;
69;9;9;1-10;
69;5;2;1-10;
69;1;1;1-10;
69;2;1;1-10;
69;1;4;4-9;
69;2;4;4-9-74;
69;2;4;4-9-74;
69;2;4;4-9-74;
69;3;4;4-10-73;
69;2;4;4-9-74;
69;3;4;4-10-73;
69;2;4;4-9-74;
69;3;4;4-10-73;
69;5;6;0;
69;4;5;6-10-71;
70;0;12;0;
70;6;6;0;
70;2;5;0;
70;3;5;0;
70;3;4;0;
70;2;3;1-10;
70;9;4;4-10;
70;2;4;4-9;
70;4;4;4-10-77;
70;2;4;4-9;
70;4;4;4-10-77;
70;2;4;4-9;
70;4;4;4-10-77;
70;2;4;4-9;
70;4;4;4-10-77;
70;3;4;0;
70;4;4;4-10-77;
70;3;4;0;
70;4;4;4-10-77;
70;3;4;0;
70;4;4;4-10-77;
71;0;10;0;
71;7;6;0;
71;8;9;0;
71;4;4;0;
71;9;7;4-10;
71;0;2;1-10;
71;5;1;1-10;
71;4;2;1-10;
71;1;0;1-10;
71;4;4;0;
71;5;4;4-10-77;
71;4;4;0;
71;5;4;4-10-77;
71;4;4;0;
71;5;4;4-10-77;
71;4;4;0;
71;5;4;4-10-77;
71;4;4;0;
71;5;4;4-10-77;
71;4;4;0;
71;5;4;4-10-77;
71;4;4;0;
71;5;4;4-10-77;
72;4;5;0;
72;7;9;0;
72;6;5;0;
72;1;5;0;
72;5;4;0;
72;6;4;0;
72;7;4;0;
72;3;3;1-10;
72;9;12;4-10;
72;10;9;1-10;
72;4;1;1-10;
72;0;1;1-10;
72;2;0;1-10;
72;3;0;1-10;
72;5;4;0;
72;8;4;4-10-78;
72;5;4;0;
72;8;4;4-10-78;
72;5;4;0;
72;8;4;4-10-78;
72;5;4;0;
72;8;4;4-10-78;
72;5;4;0;
72;8;4;4-10-78;
72;5;4;0;
72;8;4;4-10-78;
72;5;4;0;
72;8;4;4-10-78;
72;4;5;0;
72;8;4;4-10-78;
73;8;8;0;
73;5;5;0;
73;9;10;0;
73;8;7;0;
73;9;8;0;
73;8;4;4-9-73;
73;8;4;4-9-73;
73;9;4;4-10-75;
73;8;4;4-9-73;
73;9;4;4-10-75;
73;8;4;4-9-73;
73;9;4;4-10-75;
73;8;4;4-9-73;
73;9;4;4-10-75;
73;8;4;4-9-73;
73;9;4;4-10-75;
74;0;8;0;
74;2;13;0;
74;8;12;0;
74;8;6;0;
74;8;5;0;
74;9;11;4-10;
74;10;8;1-10;
